velocity_data_x,velocity_data_y,velocity_data_z,rc_with_flag_data_roll,rc_with_flag_data_pitch,rc_with_flag_data_yaw,rc_with_flag_data_throttle,position_vo_x,position_vo_y,position_vo_z,altitude_fusioned,altitude_barometer,height_homepoint,height_fusion,gps_fused_latitude,gps_fused_longitude,gps_fused_altitude,gps_longitude,gps_latitude,gps_altitude,velocity_x,velocity_y,velocity_z,status_displaymode,status_flight,rtk_connect_status_rtkConnected
-0.018323,0.035294,0.033054,0.000000,0.000000,0.000000,0.000000,-0.118067,0.061695,-49.316879,49.325237,50.365257,49.253578,0.109469,0.000000,0.000000,49.754883,0,0,-17000,0.000000,0.000000,0.000000,6,0,0
-0.015659,0.035733,0.032798,0.000000,0.000000,0.000000,0.000000,-0.118428,0.062381,-49.328152,49.339031,50.309769,49.253578,0.110266,0.000000,0.000000,50.267490,0,0,-17000,0.000000,0.000000,0.000000,6,0,0
-0.010946,0.034366,0.033450,0.000000,0.000000,0.000000,0.000000,-0.118766,0.063094,-49.342293,49.349255,50.169727,49.253578,0.111246,0.000000,0.000000,50.352047,0,0,-17000,0.000000,0.000000,0.000000,6,0,0
-0.009207,0.034578,0.032864,0.000000,0.000000,0.000000,0.000000,-0.119015,0.063798,-49.350742,49.352268,50.185581,49.253578,0.110976,0.000000,0.000000,49.942486,0,0,-17000,0.000000,0.000000,0.000000,6,0,0
-0.009189,0.036715,0.031159,0.000000,0.000000,0.000000,0.000000,-0.119433,0.063911,-49.352566,49.357342,49.725815,49.253578,0.111951,0.000000,0.000000,50.090454,0,0,-17000,0.000000,0.000000,0.000000,6,0,0
-0.010302,0.036578,0.032065,0.000000,0.000000,0.000000,0.000000,-0.119612,0.064619,-49.360336,49.366905,50.032326,49.253578,0.110964,0.000000,0.000000,49.974194,0,0,-17000,0.000000,0.000000,0.000000,6,0,0
-0.010005,0.034730,0.034064,0.000000,0.000000,0.000000,0.000000,-0.119808,0.065344,-49.369373,49.378372,49.543495,49.366905,0.112150,0.000000,0.000000,49.955696,0,0,-17000,0.000000,0.000000,0.000000,6,0,0
-0.009659,0.034098,0.035493,0.000000,0.000000,0.000000,0.000000,-0.119992,0.066039,-49.382366,49.387753,49.791874,49.366905,0.113521,0.000000,0.000000,49.762810,0,0,-17000,0.000000,0.000000,0.000000,6,0,0
-0.007139,0.031628,0.036136,0.000000,0.000000,0.000000,0.000000,-0.120166,0.066709,-49.387123,49.387367,49.554066,49.366905,0.112613,0.000000,0.000000,49.828865,0,0,-17000,0.000000,0.000000,0.000000,6,0,0
-0.009897,0.032313,0.036684,0.000000,0.000000,0.000000,0.000000,-0.119829,0.066133,-49.387669,49.385860,49.982121,49.366905,0.113878,0.000000,0.000000,49.789230,0,0,-17000,0.000000,0.000000,0.000000,6,0,0
-0.011879,0.032886,0.040132,0.000000,0.000000,0.000000,0.000000,-0.120013,0.066774,-49.384708,49.377045,49.884354,49.366905,0.112696,0.000000,0.000000,49.538212,0,0,-17000,0.000000,0.000000,0.000000,6,0,0
-0.010493,0.033001,0.041523,0.000000,0.000000,0.000000,0.000000,-0.120243,0.067427,-49.375385,49.380085,49.794518,49.366905,0.113747,0.000000,0.000000,50.124805,0,0,-17000,0.000000,0.000000,0.000000,6,0,0
-0.008968,0.033057,0.042241,0.000000,0.000000,0.000000,0.000000,-0.120771,0.062969,-49.381130,49.384464,49.543495,49.366905,0.114823,0.000000,0.000000,49.799801,0,0,-17000,0.000000,0.000000,0.000000,6,0,0
